词语	义项描述	语料
报	祭名	《良耜》,秋[报]社稷也。
报	告知，报告，答复	「首开邪议，以枉道说人主，以近利负先帝，陷陛下于过举」。皆不[报]。
报	报复	把他万剐凌迟，与妹妹[报]仇。
报	报答，报酬	薄施厚望者不[报]，贵而忘贱者不久。
报	传达消息的文件或信号	比缘边牒[报]，西界点集本路叛卒。
报	报复	彼为寇则严备而不务[报]复，此当今之所易也。
报	传达消息的文件或信号	币未出境，警[报]随至。
报	报答，报酬	不能前诛逆竖而[报]天子，罪大矣，臣请先斩瑰。
报	报答，报酬	不思[报]功，翻纵军众凌辱监军
报	通“赴”，疾速	此亦本未根叶之出候也，故[报]死则叶枯矣。
报	传达消息的文件或信号	从而为制定奇袭蔡州的战略计划提供了真实情[报]和可行谋策。
报	其他专名	但当直学士一人押字而已，谓之咨[报]
报	报应	尔反天道而杀之，当有此[报]耳。
报	报应	否则他日之[报]同我之[报]也。
报	详细申报	光绪八年，云南[报]销案起
报	断狱，判决罪人	辟[报]故不穷审。
报	通“赴”，疾速	卿但暂还家，吾今且[报]府。
报	其他专名	若百司申中书，皆用状，惟学士院用咨[报]
报	报应	善恶多端，福[报]难数。
报	断狱，判决罪人	势不能与勾，宜籍其财产，或令巨款捐赎，然后贷其一死。”皆不[报]。
报	详细申报	御史陈启泰奏太常寺卿周瑞清包揽云南[报]销
被	遭受，遇到	贬右武卫上将军，事具彬传。四年春，授保静军节度。端拱元年，[被]病，召归阙，卒，年六十七。赠侍中。
被	遭受，遇到	德宗怒，遂赐参死，议者冤之。巽廉察江西，徇喜怒之情，而无罪[被]戮者多矣。元和四年四月卒，时年七十一，赠尚书左仆射。
被	遭受，遇到	电传省城变作，知事不可为，仰药死。营官罗某，民军入城，不屈[被]害，碎其尸。
被	表示被动	金川平。元俊部将张芝元请於阿桂，谓元俊有功无罪，徒以忤专阃[被]罗织，语甚切。阿桂为疏请，赦其子还。
被	表示被动	同傚鸾凰。谁想，蓦然平地浪波生，怎知道祸从天降。雾迷云障，[被]鸨母苦死打开鸳鸯。
被	表示被动	谓人云：“我诗应须大材迮之，不尔飞去。”建武末，爲诸暨令，[被]王敬则贼所杀。
被	通“髲”，假发	[被]之僮僮，夙夜在公。
被	覆盖	《灵芝篇》，当《殿前生桂树》：灵芝生玉地，硃草[被]洛滨。荣华相晃耀，光采晔若神。古时有虞舜，父母顽且嚚。尽孝于田
被	覆盖	《尧典》微言，达《洪范》至理，寄命时托柱石，抱孤的慎鼎彝，化[被]蒿莱，仁沾动植。
被	穿在身上或披在身上	陛下曾不证审，遂伏其辜。昔晋侯失刑，亦梦大厉[被]发属地。天道明察，鬼神难诬。宜并改葬，以安冤魂。反宋后之
被	被子，睡眠时用以覆体的夹被	碧衫宽舞体，麝烟煤淡歌眉。远信稀，归期未，郁金堂夜深空闭。绣[被]寒多有梦知，绮窗外银蟾似水。
被	穿在身上或披在身上	陈豪桀说涉曰：「将军[被]坚执锐，帅士卒以诛暴秦，复立楚社稷，功德宜为王。」陈涉问两人，
被	被子，睡眠时用以覆体的夹被	辞。我则索长近长亲着皮肉。一家，无二，只除是护枕放呵又怕那揲[被]铺床小小妮子，觑的来因而。
被	覆盖	大雪逾岭，[被]南越中数州。
被	穿在身上或披在身上	到曼头城，慕利延驱其部落西渡流沙，那急追之，故西秦王慕璝世子[被]囊逆军距战，那击破之。慕利延遂西入于阗。
被	施加，施及	凡此诸曲，始皆徒歌，即而[被]之管弦。又有因丝竹金石，造歌以[被]之，魏世三调歌辞之类是也。
被	被子，睡眠时用以覆体的夹被	风摇槛竹，雨滴檐楹。银烛暗雕盘篆冷，绣帏孤翠[被]寒增。数尽残更，天也难明，梦也难成。
被	施加，施及	基泰。戎车盟津偃，玉帛涂山会。 舜日启祥晖，尧云卷征旆。风猷[被]有截，声教覃无外。
被	表示护身物的计量	绛侯子为父买工官尚方甲楯五百[被]，可以葬者。
被	施加，施及	屡决之害，全由堤防无备。臣愿严责水官，修治北流埽岸，使二方均[被]恻隐之恩。」
被	肩帔	雨雪，王皮冠，秦复陶，翠[被]。
倍	加倍，倍数	奋年已五十，唯有一子，终不顾望，遂穷力讨之。吏民感义，莫不[倍]用命焉。
倍	加倍，倍数	（应[倍]无射之律，得[倍]应锺之吕，变宫合字，清变宫高六，为下徵之分，转变宫之分。）
倍	加倍，倍数	（应[倍]无射之律，得[倍]应锺之吕，变宫合字，清变宫高六，为下徵之分，转变徵之分。）
倍	越发，更加，倍加	乱来犹记旧篇章。 陶潜岂是铜符吏，田凤终为锦帐郎。莫怪相逢[倍]惆怅，九江烟月似潇湘。
倍	越发，更加，倍加	岂知今日还京华。 麟符上相恩偏厚，隋苑留欢日欲斜。明日江头[倍]惆怅，远山芳草映残霞。
倍	越发，更加，倍加	公子南桥应尽兴，将军西第几留宾。寄语洛城风日道，明年春色[倍]还人。
倍	背弃，违背，背叛	[倍]道而行，则天下不能使之吉。
倍	背弃，违背，背叛	哀王於是乃[倍]从约而因仪请成於秦。张仪归，复相秦。三岁而魏复背秦为从。秦攻魏
倍	"通""背""，背向"	朝廷之命方图入援，须三旬而后能至，得无失其机耶？臣以身先士卒[倍]道兼行矣。”上嘉其意，诏枢府督军应之。
倍	"通""背""，背向"	潮阳南去[倍]长沙，恋阙那堪又忆家。心讶愁来惟贮火，眼知别後自添花。 商颜暮
倍	通“背”，背诵	读书[倍]文，功力兼人。
倍	背弃，违背，背叛	伽[倍]国，故休密翕侯，都和墨城，在莎车西，去代一万三千里。人居山谷间
倍	"通""背""，背向"	管仲反，入，[倍]屏而立，公不与言。
本	原来的	（尝思之，苕霅水清可鉴，邑屋之影入焉。而甍栋丹垩，悉能透现[本]象，有如水玉。故善为言者，得以裒撮其美而曰：此其宫盖水晶为之，
本	本来，原来	下狱，寻释复官。既而郭宗人共乞择英孙一人嗣英爵。廷臣皆言良[本]英嫡孙，宜嗣侯。诏可。正德初卒。子勋嗣。
本	本来，原来	垂虹亭上，与客千里快凝眸。看剑引杯狂醉，饮水曲肱高卧，鹏鷃[本]同游。起舞三人耳，横笛唤沙鸥。
本	自己一边的，当今的	都督源子邕与裴衍合围鉴，斩首传洛，诏改姓元氏。庄帝初，许复[本]族，又特复鉴王爵，赠司空。
本	本来，原来	功高玉记，名通紫府自长年。拂拭壶中光景，游戏人间风月，富贵[本]青毡。十载五分牧，惠泽浸江天。
本	依据，按照	[本]乎天者亲上，[本]乎地者亲下。
本	事物的根基，根本	“朕以叶李言，更至元钞，所用者法，所贵者信，汝无以楮视之，其[本]不可失，汝宜识之。”
本	书籍，字画，碑帖等	「和柔而能沈毅也。尚书咎繇谟曰『扰而毅』。扰亦柔也。今流俗书[本]柔字作果者，妄改之。」
本	原来的	俺相公除洪州知府，带夫人上任去。我看你也是[本]分人，你肯去么？天那，这拳财在这里了.小
本	古代奏达皇帝的文书	别具[本]章。
本	原来的	秉德，[本]名乙辛。初为西南路招讨使，改汴京留守。丁母忧，起复为兵部尚书，
本	自己一边的，当今的	勃勃如叱贼状。妻姜在籍，闻之，一恸而绝。赠大理寺卿，谥忠烈。[本]朝赐谥节愍。次子之栻仕闽为职方主事，亦死难。
本	书籍，字画，碑帖等	臣赞》，其所颂述，今多载于《蜀书》。其赞而不作传者，余皆注疏[本]末于其辞下。
本	事物的根基，根本	杜预遗令曰：“山上有頉，或曰子产，邪东北向新郑城，不忘[本]也。”
本	人名	敦拜，富察氏，满洲正黄旗人，先世居沙济。父[本]科理，归太祖。尝从鄂佛洛总管达赖讨朱舍理部长尤额楞，有功，赐号
本	事物的根基，根本	夫京师天下根[本]。人民安则京师安，京师安则国[本]固而天下安。自营建以来，工匠小人假托威势，驱迫移徙，号令方施，
本	古代奏达皇帝的文书	赴西安行在，上陈治[本]疏；又请建两都，分六镇，以总督兼经略大臣，得辟幕僚，巡抚以下咸
本	书籍，字画，碑帖等	行不（客）〔容〕於齐。钱大昭说「客」疑当作「容」。按景佑、殿[本]都作「容」，史记同。
本	人名	胡儿、察罕达鲁花等先后来归。久之，阿鲁台杀鬼力赤，而迎元之后[本]雅失里于别失八里，立为可汗。
本	事物的起始，根源	今炫敢违礼乖令，侮圣干法，使出后之子，无情于[本]生，名义之分，有亏于风俗，徇饰非于明世，强媒蘖于《礼经》，虽欲
本	古代奏达皇帝的文书	举动及大事不决，每遣尚书、高平公李敷就第访决。皇兴三年卒。赠[本]将军、冀州刺史、武邑公，谥曰简。
本	量词。1.用于草木，相当于“株”，“棵”，“丛”，“撮”。2.用于书籍薄册。3.用于戏曲。5.用于一定长度的影片。	来吴承恩同名小说故事雏形。但故事多有相异而不为同途。此剧共六[本]二十四出，结构庞大而较为完整
本	自己一边的，当今的	立之于[本]朝之上，倚之于三公之位。
本	人名	六月己酉，大学士徐[本]以病乞休，允之。癸丑，赈山东历城等三十二州县旱灾，兰山等六州县
本	古代特指农业生产	墨家者，强[本]节用之书也，以贵俭尚贤为用。
本	本钱	权做这场折[本]买卖。
本	草木的根	人之带牡麻．结[本]在房．床笫夷衾馔于西坫南．西方盥如东方．陈一鼎于寝门外．当东塾
本	版本	绍望所修既成，焚元祐旧[本]。
本	草木的根	甚时又，分与扬州[本]，一朵冰姿难比。曾向无双亭边，半酣独倚。似梦觉，晓山瑶台十里。
本	地名	十二年，既平宋，世祖命希亮问诸降将，日[本]可伐否。夏贵、吕文焕、范文虎、陈奕等皆云可伐。
本	草木的根	是岁，有禾生景天中，三[本]一茎九穗。
本	事物的起始，根源	喜。荣沾南儒恩例。捧觞更喜郎君美。任夜来归待。见说生辰，恰逢[本]命，寿筵且未。听老聃孙子。祝公耆艾，祝公富贵。
本	量词。1.用于草木，相当于“株”，“棵”，“丛”，“撮”。2.用于书籍薄册。3.用于戏曲。5.用于一定长度的影片。	新松郁郁三千[本]。
本	事物的起始，根源	音乐之所由来者远矣，生于度量，[本]于太一。
本	其他专名	这是做院[本]的。
本	官职	右是下品八治也。第一平盖治，第二蒙秦治，第三[本]竹治，第四稠粳治。
鄙	质朴，鄙陋	[鄙]贱之人，不知将军宽之至此也。
鄙	质朴，鄙陋	[鄙]陋小人，将贵而得禄也。
鄙	质朴，鄙陋	[鄙]人奉末眷，佩服自早年。义均骨肉地，怀抱罄所宣。
鄙	周代行政区划名	[鄙]师各掌其[鄙]之政令祭祀．凡作民．则掌其戒令．以时数其众庶．而察其媺恶而诛赏．岁终．则会其[鄙]之政而致事．
鄙	边邑，边远地区	[鄙]谚曰：「不习为吏，视已成事。」
鄙	边邑，边远地区	“父老何自苦？”对曰：“山谷[鄙]生，未尝识郡朝。它守时吏发求民闲，至夜不绝，或狗吠竟夕，民不得
鄙	边邑，边远地区	薄矣。降及尧舜，作为千钟百壶之献，因姑射神人以假道，盖至其边[鄙]，终身太平。禹、汤立法，礼烦乐杂，数十代与醉乡隔。其臣羲和，弃
鄙	周代行政区划名	北[鄙]之儆谓公孙瓒攻绍也。左传曰：“局部也。”
鄙	轻视，看不起	不得已乎！所以隐忍苟活，函粪土之中而不辞者，恨私心有所不尽，[鄙]没世而文采不表於後也。
鄙	轻视，看不起	不自[鄙]，葵蔬恶。还肯荐，茅柴薄。任侯门海陆，杂陈珍错。有暇盍联车骑过
鄙	郊野，郊外	参其国而伍其[鄙]。
鄙	轻视，看不起	曹操微时，常卑辞厚礼，求为己目。劭[鄙]其人而不肯对，操乃伺隙胁劭。
鄙	周代行政区划名	大常．诸侯建旗．孤卿建．大夫士建物．师都建旗．州里建旟．县[鄙]建旐．道车载旞．斿车载旌．皆画其象焉．官府各象其事．州里各象其
鄙	人名	二十年，秦围邯郸，信陵君无忌矫夺将军晋[鄙]兵以救赵，赵得全。无忌因留赵。二十六年，秦昭王卒。
鄙	人名	秦将闻之，为却军五十里。适会魏公子无忌夺晋[鄙]军以救赵，击秦军，秦军遂引而去。
鄙	人名	杀之，齿着门阖。彭生，齐人，拉鲁桓公干而杀之。范雎曰：“以任[鄙]之力焉而死。”申休未详何世也。
鄙	作为边邑	一０]左传曰，楚使申舟聘齐，不假道于宋。华元曰：“楚不假道，[鄙]我也。”
鄙	小邑，采邑	以八则治都鄙。
鄙	作为边邑	越国以[鄙]远，君知其难也。
兵	士兵，军队	[兵]埶巧便，臣已更之。可不烦方寸之印，尺帛之赐，高可以涤患，下可以
兵	军事，战争，或者有关军事的事情	“驽怯无方略。”世祖曰：“将军久将，习[兵]，岂与我掾史同哉！”武由是归心。
兵	士兵，军队	〕匈奴使大将与李陵将三万余骑追汉军，至浚稽山合，转战九日，汉[兵]陷陈却敌，杀伤虏甚众。至蒲奴水，虏不利，还去。
兵	军事，战争，或者有关军事的事情	安。”於是大臣乃谋迎立代王，而遣朱虚侯以诛吕氏事告齐王，令罢[兵]。
兵	士兵，军队	安帝隆安元年二月，岁星、荧惑皆入羽林。占曰：“中军[兵]起。”四月，王恭等举[兵]，内外戒严。
兵	军事，战争，或者有关军事的事情	卜岁中有[兵]无[兵]。无[兵]，呈兆若横吉安；有[兵]，首仰足开，身作外强情。
兵	兵器	不受，遂前至河南。劭迎劳之，因譬令还军。卓疑有变，使其军士以[兵]胁劭。
兵	兵器	褚先生曰：地形险阻，所以为固也；[兵]革刑法，所以为治也。犹未足恃也。夫先王以仁义为本，而以固塞文法
兵	兵器	而朝廷即授以荆州之任，司马元显又讽百僚悉使敬己，内外骚动，[兵]革烦兴。此皆陵僭忧愁之应也。
病	重病	（藏于己为道义）。（施于物为政能），阖境有裤襦之乐。 候[病]须通脉，防流要塞津。救烦无若静，补拙莫如勤。 削使科条简，
病	生病，患病	（德舆受辟于江西廉推），（崔又知度支院在焉）。孰谓原思[病]，非关宁武愚。 方看簪獬豸，俄叹絷¤¤。芳讯风情在，
病	枯干的	[病]叶多先坠，寒花只暂香。
病	重病	[病]愈，西入关，至栎阳，存问父老，置酒，枭故塞王欣头栎阳市。
病	生病，患病	【卜算子】[病]弱身着地， 气咽魂离体，拆散鸳鸯两处飞。
病	重病	【前腔】 (老旦)心中自三省，转教人愁闷增。你媳妇多灾多[病]，况亲家两鬓星，家务事要支撑，教他怎生离乡背井？
病	生病，患病	【三登乐】 世乱人荒，幸脱离天罗地网。不提防[病]染这场。事不宁，身未稳，天降灾殃。淹留旅邸，望河南怎往？
病	困苦	春明门外作卑官，[病]友经年不得看。莫道长安近于日，升天却易到城难。
病	责备，怨恨	古人以俭为美德，今人乃以俭相诟[病]。
病	担心，忧虑	弘为人恢奇多闻，常称以为人主[病]不广大，人臣[病]不俭节。弘为布被，食不重肉。後母死，服丧三年。每朝会议，开陈其
病	弊病，缺点	将人比畜。怎么屎口伤人？惯有这毛[病]。茶来。免茶。免茶不是你说的。
病	疲劳	今日[病]矣，予助苗长矣。
病	弊病，缺点	近时悬空去做勿忘、勿助者，其意见正有此[病]，最能担误人，不可不涤除耳。
病	担心，忧虑	君子[病]无能焉，不[病]人之不己知也。
病	辱，耻辱	恐不能共事，以[病]吾子。
病	疲劳	联镳长安道，接武承明宫。君登玉墀上，我侍彤庭中。 疲[病]多内愧，切磋常见同。起予览新诗，逸韵凌秋空。 相爱每不足，
病	困苦	莫听黄鸟愁啼处，自有花开久（一作向）客中。贫[病]固应无扰事，但将怀抱醉春风。
病	使成病态，使受损害	难眠夏夜抵秋赊，帘幔深垂窗烛斜。风吹桐竹更无雨，白发[病]人心到家。
病	疲劳	然而兵甲顿，士民[病]，蓄积索，田畴荒，囷仓虚，四邻诸候不 服，霸王之名不成。
病	弊病，缺点	人皆嗤吾固陋，吾不以为[病]。
病	担心，忧虑	三年，庄公上城，见戎州。曰：“戎虏何为是？”戎州[病]之。十月，戎州告赵简子，简子围卫。十一月，庄公出奔，卫人立公子
病	困苦	昔是诗狂客，今为酒[病]夫。强饮翻怅望，纵醉不欢娱。 鬓发三分白，交亲一半无。
病	使成病态，使受损害	言有此媢疾之人，妨贤而[病]国，则仁人必深恶而痛绝之。
病	失败	以韩之[病]，兵甲尽矣。
病	使成病态，使受损害	以夭梅、[病]梅为业以求钱也。
病	病恨	与刖其父而弗能[病]者何如？
曾	曾经，已经，才	(白)男大须婚，女大须嫁。老身大的孩儿必达，不[曾]婚娶。
曾	曾经，已经，才	“从阴平由邪径经汉德阳亭趣涪”这条为蜀军所不[曾]设防的进攻路线。邓艾军经过无人之地七百里，历尽艰难险阻。
曾	曾经，已经，才	【332】问：“近来妄念也觉少，亦觉不[曾]著想定要如何用功，不知此是工夫否？”先生曰：“汝且去著实用功，
曾	表示出乎意料，相当于“乃”“竟”	不谥灵缪，为幸已多，犹曰祖宗，孰云其可？而史臣载削，[曾]无辨明，每有所书，必存庙号，何以申劝沮之义，杜渝滥之源者乎？
曾	表示出乎意料，相当于“乃”“竟”	陈礼物而祭之也。陪臣祭泰山，僭诸侯之礼。孔子非之曰：『呜乎，[曾]谓泰山不如林放乎！』事见论语。」
曾	表示出乎意料，相当于“乃”“竟”	初温任兼将相，其不臣之心，形于音气，[曾]卧对亲僚，抚枕而起曰：“为尔寂寂将为文、景所笑。”众莫敢对。后
曾	指与自己隔着两代的亲属	到洽，字茂氵公，彭城武原人也。宋骠骑将军彦之[曾]孙。祖仲度，骠骑江夏王从事中郎。父坦，齐中书郎。洽年十八，为南
曾	指与自己隔着两代的亲属	刁冲，字文朗，渤海饶安人也，镇东将军雍之[曾]孙。十三而孤，孝慕过人。其祖母司空高允女，聪明妇人也，哀其早孤
曾	"通""增""，增加"	东宝惟金，南木有乔。发辉[曾]崖，竦干重霄。美哉兹土，世载英髦。育翮幽林，养音九皋。其一
曾	指与自己隔着两代的亲属	段颎字纪明，武威姑臧人也。其先出郑共叔段，西域都护会宗之从[曾]孙也。
曾	"通""增""，增加"	行拂乱其所为，所以动心忍性，[曾]益其所不能。
曾	表示疑问，相当于“何”“怎”	呜呼！[曾]谓泰山不如林放乎？
察	观察	[察]日、月之行以揆岁星顺逆。曰东方木，主春，日甲乙。义失者，罚出岁
察	考察后加以推荐	[察]孝廉，举高第，三迁侍中。桓帝时，数有醔异，下策博求直言，儒上封
察	明察，明辨	“今当立帝，宜择长年高明有德，任亲政事者，愿将军审详大计，[察]周、霍之立文、宣，戒邓、阎之利幼弱。”
察	观察	“於是乎周览泛观，瞠盼轧¤，芒芒恍忽，视之无端，[察]之无崖。日出东沼，入於西陂。其南则隆冬生长，踊水跃波；兽则旄¤
察	明察，明辨	「象谓县象也。载，事也。县象秘事，昭显於庭，日来亲近，甚明[察]也。」
察	明察，明辨	〕来而不能困，使得气去，後未易服也。愚臣亡识，唯陛下财[察]。
察	考察后加以推荐	八月庚午，初令三署郎通达经术任牧民者，视事三岁以上，皆得[察]举。
察	考察后加以推荐	拜郎中。自是牧守畏栗，莫敢轻举。迄于永嘉，[察]选清平，多得其人。
察	观察	宝镜如明月，出自秦宫样。隐起霜蟠龙，衔珠俨相向。 常恐君不[察]，匣中委清量。积翳掩菱花，虚心蔽尘状。 倘蒙罗袖拂，
察	昭著，明显	初，和帝末，下令麦秋得案验薄刑，而州郡好以苛[察]为政，因此遂盛夏断狱。
察	昭著，明显	邓哀王冲字仓舒。少聪[察]岐嶷，生五六岁，智意所及，有若成人之智。时孙权曾致巨象，太祖欲
察	昭著，明显	帝性褊[察]，好以耳目隐发为明，故公卿大臣数被诋毁，近臣尚书以下至见
长	年龄大	(小旦)渐行渐远，亲兄[长]不知死和存。愁人见说愁更新。
长	表示时间，空间有相当大的距离，与“短”相对	[长]冠，一曰斋冠，高七寸，广三寸，促漆纚为之，制如板，以竹为里。初
长	抚养，抚育	[长]吾女与汝女，待其嫁，如此而已。
长	表示时间，空间有相当大的距离，与“短”相对	[长]吁短叹，我心自晓。娘子，你晓得我甚么？
长	成年人，年纪大的，与“幼”相对	[长]幼之节，不可废也。
长	表示时间，空间有相当大的距离，与“短”相对	[长]榆落照尽，高柳暮蝉吟。一返桃源路，别後难追寻。
长	年龄大	[长]者家儿谓权要子弟等。介介犹耿耿也。
长	排行第一，长子	[长]子亨为辽西太守，属王濬自用其人，亨不得之官。依青州刺史苟晞，刑
长	年龄大	“家事任[长]，妾当其辜。”一门争死，郡县疑不能决，乃上谳之。诏书竟坐
长	首领	“鲜卑隔在漠北，犬羊为髃，无君[长]之帅，庐落之居，而天性贪暴，不拘信义，故数犯障塞，且无宁岁。唯
长	常，经常	百年[长]扰扰，万事悉悠悠。日光随意落，河水任情流。
长	首领	不死於其君[长]，大不义也，其辞犹不可服，辞之不足以断事也明矣。
长	擅长	才，管、萧之亚匹矣。然连年动众，未能成功，盖应变将略，非其所[长]欤！
长	常，经常	出师未捷身先死，[长]使英雄泪满襟。
长	首领	初，党与同郡谭贤伯升、鴈门殷谟君[长]，俱守节不仕王莽世。建武中，征并不到。
长	排行第一，长子	初，宪王有不爱姬生[长]男梲，梲以母无宠故，亦不得幸於王。王后修生太子勃。王内多
长	常，经常	此日[长]昏饮，非关养性灵。眼看人尽醉，何忍独为醒。
长	排行第一，长子	邓太后以殇帝襁抱，远虑不虞，留庆[长]子佑与嫡母耿姬居清河邸。至秋，帝崩，立佑为嗣，是为安帝。太后使
长	增长	而[长]寇仇。
长	长度	凡冒质[长]与手齐，杀三尺，自小敛以往用夷衾，夷衾质杀之，裁 犹冒也。
长	抚养，抚育	夫[长]国者，唯知哀乐喜怒之节，是以导民。
长	擅长	河南郑兴﹑东海卫宏等，皆[长]于古学。
长	增长	季世之天下，言愈[长]，争愈甚，官邪愈侈，民害愈深，封疆愈危
长	长处，专长	兼花之[长]而各去其短。
长	长处，专长	今秦地折[长]补短，方 数千里，名师数十百万。
长	生长	今鱼方别孕，不教鱼[长]，又行网罟，贪无艺也。”
长	生长	镜中常自叹婵娟，生[长]闺门二八年，惟喜椿庭身在室，何堪萱室魄归天？
长	领导，主管	可使[长]官者[长]官。
长	增长	里克曰：“弑君以为廉，[长]廉以骄心，因骄以制人家，吾不敢，抑挠志以从君，为废人以自利也，利方以求成人，吾不能。
