爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
传,1.传送，传递，传达。如：【东瓯令】 (老旦上)瑞兰！寻思苦，路生疏。军喊风[传]行路促，娘儿挽手相回护，这苦难分诉。望天天怜念老身孤，2.流传。如：【柰花子】论荆钗名本轻微，汉梁鸿已仗得妻，芳名至今留[传]于世。老安人，休将他恁般轻视，听启，明说道表情而已。3.传授。如：【前腔】 秀才，你儒业祖[传]袭，文章幼攻习。我低低问，暗暗猜，心疑忌，叔伯远房姑舅的？
辞,1.推辞，辞去。如：鼓吹、班剑二十人。将吏百余敦劝，乃受羽葆、鼓吹、班剑，余固[辞]。十年，息民简役。筑东府，起府舍。2.辞退，辞遣。如：[辞]八人者，而后王安之。3.特指表达判断的语言形式。如：[辞]也者，兼异实之名以论以意也。
从,1.同宗。如：[从]父昆弟之子，名建字长卿。2.由。如：[从]水之道而不为私焉，此吾所以道 之也。”3.跟随。如：‘除君之恶，唯力是视。’邓通懈慢，申屠嘉召通诘责，文帝[从]而请之。
存,1.生存，存在。如：戊辰，赐天下男子爵，人二级；、寡、孤、独、笃、贫不能自[存]者粟，人六斛。2.保存，留下。如：并惊惋叹息。初上马，以马鞭柄策，挽致两股内，及下马，柄孔犹[存]。3.问候，省视，省问。如：次北郊、明堂、高庙、世祖庙，谓之五供’。蔡邕所据亦然。近世[存]省，故郊堂共日。来年郊祭，宜有定准。”
达,"1.至，到。如：言其下可行步，即今之步廊也。谓其途长远，虽经日行之，尚不能[达]，故中道而宿也。」2.显贵,显达,得志。如：[达]官贵人。3.通晓，明白。如：“愚生不开[达]，初生未常闻，人不犯非法而有罪也。”"
怠,1.懈怠，松懈。如：不使卿力。”十四年，诏曰：“光禄大夫孙谦，清慎有闻，白首不[怠]，高年旧齿，宜加优秩。可给亲信二十人，并给扶。”2.疲倦。如：[怠]而后游于清池。3.轻慢，不恭敬。如：《貌传》又曰：“上失节而狂，下[怠]慢而不敬，上下失道，轻法侵制，不顾君上，因以荐饥。貌气毁，故有
殆,"1.大概，恐怕。如：！不然，令尹其不免乎。吾见令尹，令尹问蓄聚积实，如饿豺狼焉，[殆]必亡者也。2.通""怠""，懒惰，疲惫。如：德不足矣，地虽广莫能守也。呜呼，盛极必衰，虽曰势使之然，而[殆]忽骄满，常因盛大，可不戒哉！3.危险。如：不得用，枯木朽株尽为害矣。是胡越起於毂下，而羌夷接轸也，岂不[殆]哉！虽万全无患，然本非天子之所宜近也。"
当,1.值，在，正在。如：[当]帝尧之时，鸿水滔天，浩浩怀山襄陵，下民其忧。尧求能治水者，2.承担。如：[当]仁不让于师。3.遇上，碰上。如：[当]之者戕焉，于晋何害？
道,1.道路，取道。如：穆帝升平中，童兒辈忽歌于[道]曰《阿子闻》，曲终辄云“阿子汝闻不”？无几而帝崩，2.途径，方法。如：七星七星，一名天都，主衣裳文绣，又主急兵盗贼。故星明王[道]昌；暗则贤良不处，天下空。3.道义。如：综而为言，凡有三术。其一曰，君治以[道]，臣辅克忠，万物咸遂其性，则和气应，休征效，国以安。二曰，君违其道，小人在位，
得,"1.得到，获得。如：此诚习战非为剧，岂若安坐行良图。当今忠臣不可[得]2.用在动词或形容词后面,连接表示程度或结果的补语。如：(小生)谢[得]婆婆留我身，房钱逐月要还清。惟有感恩并积恨。3.能，能够。如：波移彭蠡月，树没汉陵人。试吏曾趋府，旌幢自可（一作易[得]）亲.。"
度,1.其他专名。如：当日就差押番，去临安府僧录司讨一道[度]牒2.通“渡”，渡过，越过。如：[度]河，船人见其美丈夫3.衡量，计算。如：[度]其功勞，論其慶賞
短,"1.短，与""长""相对。如：[短]兵方接，所从骑士退，思恩为拔所杀。2.过错。如：便不问长[短]3.浅薄,简陋。如：臣本庸才，智力浅[短]。"
多,"1.数量大，与""寡""或""少""相对。如：[多]伐材竹，沈于檀溪2.指某种程度。如：[多]蒙列位师兄抬举，今日得握兵权，皆众师兄之赐也3.大都，大多。如：[多]闻而志之，知之次也。"
发,1.打开，拆毁。如：[发]仓廪以振贫穷，补不足2.派遣。如：[发]吏攻，败亡走3.发布，宣告。如：[发]令往白龙调平无累、铁柱
方,1.才，始。如：[方]出城门，只见一人在马前长揖曰2.正好，正当。如：[方]春，农桑兴，百姓戮力自尽之时也，故是月劳农劝民，无使后时。3.将要。如：[方]待教媒人到孙家去说，恰好裴九老也教媒人来说要娶慧娘。
非,1.无，没有。如：（杞木为者，防地湿，则速朽。）此三木者脉理循环结长，[非]有纵直文。故竭力挥椎，实尖其中，而两头无璺拆之患，2.不是，不。如：[非]我有周秉德不康宁，乃惟尔自速辜！”3.不真实，不正。如：」晋灼曰：「廑，无几也。」师古曰：「二说皆[非]也。廑，古以为勤字。言贾从军，有勤劳也。」
复,1.又，再，中断再开始。如：...]谶决之，何如？”谭默然良久，曰：“臣不读谶。”帝问其故，谭[复]极言谶之非经。帝大怒曰：“桓谭非圣无法，将下斩之。”2.“复”，走老路。如：[复]，行故道也。3.恢复。如：[复]为侍中，守秘书监，领太子詹事。未拜，
负,1.辜负，对不起人。如：...]侍韂守空宫，绂玺委女妾，设有非常之变，任章之谋，上[负]先帝，下悔靡及。臣奕世受恩，得备纳言，2.丧服披在背上的一块布。如：[负]广于适寸3.用背驮东西。如：」然楼兰国最在东垂，近汉，当白龙堆，乏水草，常主发导，[负]水儋粮，送迎汉使，又数为吏卒所寇，惩艾不便与汉通。
顾,1.访问，拜访。如：（不见其全）。茶为涤烦子，酒为忘忧君。 （见说郛），锄药[顾]老叟。焚香呼小青，（见陈继儒珍珠船）。2.表反问，相当于“岂”。如：[顾]不美哉！3.回头看，回头。如：[顾]见汉骑司马吕马童。
固,1.坚牢，巩固，加深，增强。如：[固]国不以山溪之险。2.本来，原先。如：’及其为之足，而後成人夺之酒而饮之，曰：‘蛇[固]无足，今为之足，是非蛇也。’今君相楚而攻魏，破军杀将，3.安守，坚守。如：“秦孝公据¤函之[固]，拥雍州之地，君臣[固]守，以窥周室。有席卷天下，包举宇内，囊括四海之意，
归,1.归附，归属。如：...]用得其人，审其道也。授非其才，爽其分也。易系辞曰：“天下同[归]而殊涂，一致而百虑。”易纬曰：“差以毫厘，失之千里。”2.归还。如：[归]，鲍国谓之曰：“子何辞苦成叔之邑，欲信让耶，抑知其不可乎？”3.通“馈”(kuì)，饷，赠送。如：[归]公乘马，祭服五称。
过,1.超过，胜过。如：阿善针术。凡医咸言背及匈藏之闲不可妄针，针之不可[过]四分，而阿针背入一二寸，巨阙匈藏乃五六寸，而病皆瘳。2.过失，过错。如：奥而生虫。知罪不诛兹谓舒，其奥，夏则暑杀人，冬则物华实。重[过]不诛，兹谓亡徵，其咎当寒而奥六日也。」3.走过，经过。如：八年冬，上东击韩信余寇於东垣。还[过]赵，赵相贯高等耻上不礼其王，阴谋欲弑上。上欲宿，心动，
何,1.什么。如：...]光武创基兆于绿林，卒能龙飞受命，中兴帝业。苟可辅主兴化，夫[何]嫌哉！况仆亲奉玺书，与之从事！2.为什么。如：...]瞻望帐幄，感故友之周旋，抚弦搦矢，不觉涕流之覆面也。[何]者？自以辅佐主人，无以为悔；主人相接，过绝等伦。受任之初，3.怎么样，怎么办。如：巴得父亲到许多年纪，又把个不得善终的恶名与他，心中[何]忍？但打死是假，推仆是真，若不重罚罗德，也难出你的气。
恨,1.感到遗憾。如：‘奴，汝今日真死矣。’配顾曰：‘狗辈！由汝曹破冀州，[恨]不得杀汝。’太祖既有意活配，配无挠辞，辛毗等号哭不已，乃杀之。2.后悔，遗憾。如：“青州”天性峭急，迷于曲直。君当先除曹操，以卒先公之[恨]。事定之后，乃计曲直，不亦善乎？若迷而不返，3.怀恨在心，怨恨。如：安国欣有文授，谓其子曰：“汝后勿作袴褶驱使，单衣犹[恨]不称，当为朱衣官也。”
后,1.时间在后的，与“先”相对。如：以道去卫，而灵公郊舍三日，琴瑟不御，必待史？之入，而[后]敢入。臣以此取之，虽次之贤，不亦可乎。”2.君主的正妻。如：」晋灼曰：「丑，众也。言勃欲诛诸吕，其事虽众，要不能以吕[后]在时而遂意也。」师古曰：「二说皆非也。递，绕也，谓相围绕也。3.君主。天子和诸侯都称后。如：」师古曰：「庶尹，众官之长也。群[后]，诸侯也。队，失也，音直类反。」
胡,1.古代我国西北部民族的统称。如：乌丸、鲜卑即古所谓东[胡]也。其习俗前事，撰汉记者己录而载之矣。2.鸟兽颔下的垂肉或皮囊。如：[胡]，牛顄垂也。3.为什么，怎么。如：[胡]取禾三百廛兮？
患,1.祸患，祸害，灾祸。如：然衡人怵王交强虎狼之秦以侵天下，卒有秦[患]，不顾其祸。夫挟强秦之势以内劫其主，罪无过此者。魏，2.担忧，忧虑。如：“蓟边兵政废弛已久，一切营任行阵，志趣识见，皆[患]沿袭旧套。是以将不知兵，兵无节制已非一日。”3.憎恶，讨厌，厌烦。如：盎常引大体慷慨。宦者赵谈以数幸，常害盎，盎[患]之。盎兄子种为常侍骑，谏盎曰：「君众辱之，後虽恶君，上不复信。
或,1.表示选择或列举。如：[或]如天兮[或]如地，[或]伴佳人[或]赠贵。[或]如忧兮[或]如喜，[或]笑春娇兮[或]逞媚。[或]悲白发老将至矣。2.泛指人或事物，相当于「有人」，「有的」。如：[或]意严冬霜，而甘心于小谅。亦有结朋协好，幽明共心；蹈义陵险，死生等节。虽事非通圆，良其风轨有足怀者。而情夡殊杂，难为条品；片辞特趣，不足区别。措之则事或有遗，载之则贯序无统。以其名体虽殊，而操行俱绝，3.或许，也许。如：」师古曰：「二说皆未尽也。此言[或]有所废置，有所居蓄，而居於邑中，以乘时射利也。」
疾,"1.病，疾病。如：《行苇》之欢，实协初虑。但乖涂重隔，顾增慨涕，比恆[疾]卧，忧委兼叠，裁书送想，无斁久怀。”2.快速，猛烈。如：薄曰：“徐将军号令严肃，不敢失期。曾吩咐来：城破之日，[疾]当领兵便回，毋得在此迁延，贪功邀赏。臣3.通""嫉""，妒忌。如：膑至，庞涓恐其贤于己，[疾]之"
及,1.和，与。如：...]左右丞各一人，四百石。本注曰：掌录文书期会。左丞主吏民章报[及]驺伯史。右丞假署印绶，[及]纸笔墨诸财用库藏。侍郎三十六人，四百石。2.待，等到。如：[及]日中则如盘盂。3.到，至。如：“子曰”二字衍文。好近乎知之知，并去声。此言未[及]乎达德而求以入德之事。
即,1.表示假设关系，假若，如果。如：[即]不幸有方二三千里之旱，国胡以相恤。2.就在，就地。如：[即]其帐中斩宋义头。3.[即位]登上，走上。如：黯以父任，孝景时为太子洗马，以庄见惮。孝景帝崩，太子[即]位，黯为谒者。东越相攻，上使黯往视之。不至，至吴而还，
既,1.跟“且”，“又”，“也”，“还”等词配合，表示同时具有两种情况。如：[既]不能令，又不受命，是绝物也。2.常用“则”，“就”，“那么”相呼应，相当于“既然”。如：[既]定策则仆须急归营。3.已经。如：[既]入宫中，举天下所贡…遍试之，无出其右者。
假,1.假设，如果。如：[假]令将军之吏问之不对，令之不从，其罪何如？2.凭借，借助。如：把唐僧抱起，驾风而去。噫！不知是那山那洞真妖怪，积年[假]佛看金灯。唬得那八戒两边寻找，沙僧左右招呼。行者叫道：“兄弟！3.不真，虚伪，假装。如：把我的心屈也屈死了！”晁夫人道：“谁这里说你是[假]心哩？可只是有甚么正经话，请说罢！”晁思才道：“你看嫂子！
间,1.【间关】双声叠韵连绵词。如：[间]关莺语花底滑2.近来。如：[间]者地数动而未静，惧于天地之戒，不知所由。3.中间，期间。如：」买臣不能留，即听去。其後，买臣独行歌道中，负薪墓[间]。故妻与夫家俱上冢，见买臣饥寒，呼饭饮之。
见,1.谒见，拜见。如：...．以吊礼哀祸灾．以禬礼哀围败．以恤礼哀寇乱．以宾礼亲邦国．春[见]曰朝．夏见曰宗．秋见曰觐．冬见曰遇．时见曰会．殷见曰同．时聘曰...2.看见。如：...牡橭午贯象齿而沈之．则其神死渊为陵．庭氏掌射国中之夭鸟．若不[见]其鸟兽．则以救日之弓．与救月之矢射之．若神也．则以大阴之弓．与...3.被看见，出现。如：被患不穷，自取之也。是以生不得称子，去其义也；死不得书葬，[见]其穷也。曰：有国者视此，行身不放义，兴事不审时，其何如此尔。”
解,1.把纠结的东西解开。如：[解]鞍少驻初程。2.解除，免除。如：[解]巾州主簿，捧檄不辞遥。独鹤九霄翼，寒松百尺条。 晨装沾雨雪，3.租用。如：[解]一房歇泊
进,1.向前，向上移动。如：...一三]虽寇、邓之高勋，耿、贾之鸿烈，分土不过大县数四，所加特[进]、朝请而已。观其治平临政，课职责咎，将所谓“导之以政，2.促进，增强。如：[进]本退末。3.任官，出仕。如：[进]亦忧、退亦忧。
尽,1.全部，都。如：[尽]杀其戍卒。2.死。如：‘为弓亦彁矣。’对曰；‘臣精[尽]于弓矣。’献弓而归，三日而死。公张弓东向而射，矢踰西霜之山，3.达到极点。如：安奉了诏书，领受了银印，冠带如仪。大排筵宴，二位元帅[尽]欢而归。明日番王冠带乘轿，参见元帅，双手递上一封谢表。
就,1.趋向。如：百官请建东宫？未许　按此下称王晞「[就]东堂监视太子冠服，导引趋拜，为太子太傅」，和「以局司奉玺绶」，2.只，仅。如：[就]剩下这一个了。3.往那里去，归于，走进。如：清殁十年，琛举进士，授刑部主事，改南京户部，[就]擢考功主事，乞终养归。嘉靖七年，有荐其恬退者，诏征之，琛辞。
举,1.举出，提出。如：...]中书，内中之书也。蓺文志曰“诸子凡一百八十九家”，言百家，[举]其成数也。蓺谓书、数、射、御，术谓医、方、卜、筮。2.举起，抬起。如：[举]所佩玉玦以示之者三。3.皆，都。如：[举]欣欣然有喜色。
绝,1.非常的，超常的。如：[绝]妙好辞。2.横渡，穿越。如：[绝]水、迎陵、逆溜（流）、居杀地、迎众树者，钧（均）举也，五者皆不胜。3.断，断绝。如：[绝]一岁，景帝乃更封绛侯勃他子坚为平曲侯，续绛侯後。
堪,1.高起突出的地面。如：[堪]，地突也。谓土之坟起者。2.能够，可以。如：[堪]嗟架海擎天手，翻作生擒败阵人。3.经得起。如：[堪]任发意成就得拔济地狱；若发意不成就者，因缘成就，虽未生地狱，犹可设方便不至地狱。」
克,1.克扣。如：[克]减军粮者，斩。2.胜任，能够。如：[克]勤于邦，[克]俭于家，不自满假，惟汝贤。3.克制，约束。如：[克]身自约，籴食逮给，物物B421市，日阕亡储。
类,1.兽名。如：(亶爱之山)有兽焉，其狀如貍，而有髦，其名曰[类]。2.种类。如：“古者，亲近而疏远，贵所同而贱非[类]。3.相似，像。如：【卢山五咏·障日峰（其状[类]峨眉，但小耳。
怜,1.矜怜，同情，爱怜，疼爱。如：[怜]君此去未得意，陌上愁看泪满巾。2.爱，爱慕，喜爱。如：白氏亲族中，到也[怜]遐叔是个未发达的才子，十分尊敬。3.通“吝”，吝惜。如：不慕往，不闵来，无邑[怜]之心。
临,1.到，靠近。如：[临]岸芙蓉娇色浅，傍崖木槿嫩枝垂。2.及，到（某种时候）。如：[临]别赠言，幸承恩于伟饯。3.面临。如：[临]财物资尽则为己，若此而富者，非盗则无所取。
弥,1.遍，满。如：[弥][弥]漫漫，涨将开千有百里2.充满，填满。如：[弥]缝其阙，而匡救其灾。3.越，更加。如：[弥]犹稍稍也
名,1.名字，名称。如：[名]旧简册，恍或疑其古人。2.名声，名誉，名望。如：[名]满天下，求书者纸日数束，日本、琉球皆重之。3.自己报出姓名，起名字。如：[名]泽，高祖八年卒，谥令武侯，追谥曰悼武王。
末,1.元杂剧里扮演中年男子的脚色。如：（急下）（外对[末]、贴介）我正要诉出心事，却又去接驾了。2.树梢。如：[末]大必折。3.事物的端，梢，尾。如：[末]後与最初，不是者一句。
莫,1.表示否定，相当于“不”，“不要”。如：[莫]道芳蹊尽成实，野花犹有未开丛。2.通“幕”，帐幕，幕府。如：[莫]府省约文书籍事。3.没有谁，没有什么(指处所或事物)。如：[莫]神於天，[莫]富於地，[莫]大於帝王，故曰帝王之德配天地。
乃,1.于是，就。如：[乃]策杖将一小儿，始入门，诸客望其神姿，一时退匿。2.此，这个。如：[乃]秘在九天之上，大有妙宫金台玉室素灵之房。3.用在判断句中，表示“即”。如：[乃]是圣明洞照数千里外事，有如目睹。
内,1.里面，与“外”相对。如：[内]减十二时，得九小时三十九分五十九秒，即壬戊弧本时春分距午时分。2.内部，常指国家内部，朝廷内部。如：[内]侍皇甫继明等三人给事太后閤，兼领估马，自言估马有羡利，迄千官。3.纳，交入，放进。如：《孟子》曰：思天下之民，匹夫匹妇有不被尧舜之泽者，若己推而[内]之沟中
判,1.裁决狱讼。如：[判]毕，便将吉帖、婚书、头发一齐付了韩子文。2.古称高位兼低职或出任地方官。如：[判]大宗正事士祇、兵部侍郎张焘朝谒永安诸陵。3.区别，分辨。如：[判]天地之美，析万物之理。
期,1.预定的时间，选定的日子，期限。如：[期]，初昏，陈三鼎于寝门外东方，北面，北上。2.周期。指一周年，一整月，一昼夜。。如：[期]，周一岁也，凡三百六十五日四分日之一，此特举成数而概言之3.丧服“期服”的简称，也指穿这种丧服服丧。如：[期]居庐，终丧不御于内者，父在为母为妻。
奇,1.佳，好，宜。如：[奇]文共欣赏，疑义相与析2.泛指一切奇特的，异乎寻常的人或事物。如：’”贾政笑道：“这是套的‘书成蕉叶文犹绿’，不足为[奇]。”3.奇异，怪异，罕见的，珍贵的。如：【偶于龙井辨才处得歙砚甚[奇]作小诗】
迁,1.迁移，迁徙。如：[迁]尸、卒敛，宰告，主人降，北面于堂下，君抚之，主人 拜稽颡，君降、升主人冯之，命主妇冯之。2.调动官职。如：[迁]宋台秘书郎，世子中军参军，转主簿，又为骠骑将军道怜主簿。3.贬谪，降职。如：白首为[迁]客，青山绕万州。
请,1.请求，要求，请教，请示。如：[请] 固守渭桥仓，转输诸军，粮储有继。2.通“䝼”。承受，领受。。如：大历中，[请]俸有至百万者。3.邀请，约请。如：当日，陶公即率两个公子，并范云侣，先来拜了湛公，随[请]酒筵。
穷,1.寻根究源，穷究。如：[穷]理尽性，以至于命。2.穷尽。如：[穷]通行止长相伴，谁道吾今无往还。3.贫穷，缺乏衣食钱财。如：’魔贼又言：‘若复不能与我宝者，我今饥[穷]，众苦所逼，愿当济我，如微尘许。
求,1.寻求，要求。如：[求]财物买臣妾马牛请谒追亡人渔猎不得。2.祈求，请求。如：[求]请小（少）许发爪，还宫敬造塔寺。3.探索。如：’不知性与天道，便於诗、书、执礼中[求]之乎？”
去,1.离开。如：[去]国正悲同旅雁，隔江何忍更啼莺。2.相距，远离。如：[去]京都水一千七百五十，陆六百七十。3.除去，去掉。如：[去]死肌，杀三虫。
劝,1.劝说。如：[劝]君出话须诚信，口舌从来是祸基。2.勉励，奖励。如：[劝]农重谷，以备饥荒，训卒练兵，用防寇盗。3.受到鼓励。如：本物贱，事者众，买者少，农困而奸[劝]，其兵弱，国必削至亡。
却,1.但是，可是。如：[却]把湖中失去一叶的话，瞒住不说。2.拒绝，推却。如：[却]回举似马祖，祖曰：“汝见橛柴大小。”3.退，退回。如：「今拟散[却]兵马，各归营幕，望大王进止。」
如,1.好像，如同。如：（榦录作：“[如]春夏秋冬，春为一岁之首，由是而为夏，为秋，为冬，皆自此生出。2.或，表示选择关系。如：[如]‘己所不欲，勿施於人’，便是推己之心做到那物上，贤者之忠恕也。3.假如，如果。如：[如]不解闭气炼形，使用元气行通于毛发之间，自然每度鬓发跳踯。
若,1.假如，如果。如：[若]把毡根来比并，毡根自合吃藤条。”2.至于，至如。如：[若]宝海梵志於七岁中供养如来及比丘僧奉诸所安。3.或，或者。如：[若]从践土，若从宋，亦唯命
善,1.好，美好。如：[善]闭，无关键而不可开;[善]结，无绳约而不可解。2.善于，擅长。如：[善]卜者，是君平詹尹之流；[善]相者，即唐举子卿之亚。3.好好地。如：[善]分布涧谷，间见屈曲之状，然有笔而无思致，林木皆晻霭而已，道宁气格似过之，学不及也。
稍,1.略微，稍微。如：[稍]不餍，辄造衅端，所赐财物亦岁增。2.“艄”的借字。如：[稍]公道：“酒却没买处，要饭便吃一碗。”3.逐渐。如：[稍]迁国子博士，领尚书仪曹郎中，转中书侍郎、司农少卿、黄门郎，修国史。
少,1.年幼，年轻。如：[少]而习焉，其心安焉，不见异物而迁焉。2.副手，副贰。如：[少]师、[少]傅、[少]保，曰三孤，贰公弘化。3.一会儿。如：[少]选，伏念果帅酋长缚温傅诣军门请罪。
涉,1.徒步渡水，渡水。如：[涉]汉津兮望昆仑，经赤霄兮临玄根。2.经历，经过。如：[涉]历山险，连日不止，或夜合围；士卒坠崖谷死及折伤者甚众。3.泛读，博览。如：遍[涉]南唐、北宋诸家，穷极要眇。
胜,1.特指名胜古迹。如：[胜]处转多浑恐忘，出山惟见白云浓。2.战胜，打败。如：[胜]而不骄者，术明也；败而不怨者，知所失也。3.胜过，超过。如：’又曰：‘德不[胜]气，性命於气；德[胜]其气，性命於德。
识,"1.见识，知识。如：[识]暗孙、吴，知进而不知止，知得而不知丧，犯斯不韪，师亡2.赏识。如：[识]陆扆于后生，数称誉之，扆后位宰相。3.通“志”,加上标记。如：[识]以柳枝，命本部涉济。"
